[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
基于细胞传感器的海洋水产品毒性快速分析仪,生命科学,浙江大学,本作品是一种基于细胞传感器的海洋水产品毒性快速检测分析仪，利用细胞作为敏感元件研制高灵敏度、高一致性、成本低廉的细胞传感器及检测分析仪器，用于海洋水产品毒性的快速分析，逐步取代现有个体差异大、检测时间长的动物实验法以及成本高昂的高效液相色谱法和生物免疫法。本作品可应用于海洋水产品毒性检测，还可用于其它食品和药品的安全性检测领域，保障消费者饮食、医药的安全和健康。
基于光催化复合材料在印染处理工艺上的改良研究与应用,能源化工,厦门大学嘉庚学院,团队研发了二氧化钛复合材料光催化-生化联合法。是基于城市污泥与二氧化钛为原材料通过溶胶凝胶的方式制备一种新型材料。通过研究该材料在光催化条件下对印染废水处理的最佳反应条件，结合传统生化法。创新性的提出了利用光化学手段预处理污染废水，来改良传统工业废水处理工艺的思路。该方法经过中试阶段测试，效果显著。工程设计图纸已经设计完成，现阶段在和相关单位合作完成环评报告后，进行正式运行产业化测试。
深水自升式海洋钻井平台升降系统,机械与控制,江苏科技大学,目前，深水自升式平台国内急需，其关键技术被国外断。本作品是深水自升式平台升降系统的比例模型，其功能由机械传动装置、桩腿及其相应的控制单元等实现。机械传动装置采用超大模数的齿轮齿条传动机构，并配备液压驱动系统及工作位置锁紧机构；新型拼接式桩腿，便于制造、适应水深范围广；新型伸缩式桩靴结构，增强抗刺穿能力；开发基于PROFIBUS的分布式控制及环境与结构监测系统，实现升降过程控制与健康监测。
电阻浆料的研制及其在电地暖中的应用,能源化工,湖南大学,本作品将银粉，玻璃粉和有机溶剂混合制备成电阻浆料后，采用丝网印刷技术直接将其印刷在地砖背面方格的凸起处，经中温烧结后，制备出了将地砖和发热体一体化的新型地暖，具有成本低，寿命长，效率高，发热均匀，铺设工艺简单等优点，十分具有市场前景。
动压滑动轴承油膜压力实验装置,机械与控制,大连理工大学,油膜压力的分布是滑动轴承的最基本参数之一，对轴承润滑状况的分析十分重要。该装置是用于测量动压滑动轴承的油膜压力并将其压力分布直观表示的教学实验装置。具有结构简单紧凑、直观性强等优点，非常适合高校机械设计课程的教学演示实验。
齿轮检测仪,机械与控制,内蒙古民族大学,齿轮检测仪就是为了满足现代化的机械生产需求而选定的设计方案，通过图像识别的技术，在保证使用精度的前提下大幅调高检测设备的便携性、低成本、高效率。通过摄像头采集图像，将图像交与处理设备进行分析运算，得出较为精确的数据。
基于小颗粒物真空状态转换的通用机器手,机械与控制,黑龙江工程学院,针对传统机械手的诸多缺陷，本作品设计了一种新型的被动通用机械手，它由大量的小颗粒物质包裹在一个球状弹性膜中，利用空气正压-负压的组合迅速地抓取和释放普通机械手难以抓取的物体，例如扁平的、柔软的、几何形状复杂的物体等。它具有形状适应性强、控制简单、可靠性高、执行效率高以及成本低等优点，在生产和生活中，它都将拥有广阔的应用前景。
电动自动起降航拍无人机,机械与控制,河北科技大学,本作品《电动自动起降航拍无人机》针对现有无人机使用中存在震动大、起降与操纵困难等问题，设计制作了一种以无刷电机为动力，带有自动起降功能的固定翼无人机，通过深度优化气动外形和动力系统，将电动无人机续航问题加以解决，并创造性地提出一种新的飞行操纵控制方式，解决了现有无人机对操作人员专业技术要求高的问题，使用户把精力集中在拍摄和测量上，与现有无人机在动力构成、起降方式和飞行控制环节具有质的差别。
具有自动调平平台的五轮勘测车,机械与控制,西安理工大学,在野外勘测中，仪器的调平和运送是一件费时费力的工作，需要一种能够提供仪器自动调平的运送载体，从而改善勘测人员的工作条件、提高工作效率。目前，移动机器人的种类越来越多，如用于无人侦察方面，灾后搜救等。在移动机器人上搭载平台也是十分常见的，但通常我们所见的移动机器人所搭载的平台会随地形上下而浮动，对数据收集和周围环境观测带来了不便。因此，需要设计一种将高通过性的车体和自动调平平台相结合的勘测车。
气动干莲子剥壳机,机械与控制,湘潭大学,本作品针对市面上莲子剥壳加工设备工艺流程复杂、剥壳效率不高、加工莲仁表面质量低等一系列问题，提供了一种针对不同尺寸莲子剥壳处理的气动干莲子剥壳机。为机-电-气-控一体化产品，首次采用了气动控制的自适应剥壳通道，剥壳压力稳定，不需对干莲子分级即可实现对干莲子剥壳且莲仁表面质量良好。整机采用plc控制循环动作，并对剥壳刀具进行改进，剥壳率达到85%，远优于现有剥壳机的70%的剥壳率。
半自治分布式新能源双向并网智能逆变器,机械与控制,东北大学,本发明针对220V低压配电网用户端设计。所涉及到的数据采集功能采用北斗-GPS双模互备授时技术，有效保证数据采集的同步性。多进程孤岛检测技术和双环SPWM的逆变控制技术，实现了孤岛检测和逆变控制，其检测时间短，精度高。基于专家知识和实时数据的智能并网算法可以根据历史数据与实测数据选择合适的时机进行并网。该逆变器克服了传统逆变器用户端不能自由并网、不够稳定等缺点，对新能源分布式发电具有重要意义。
毛豆机器人,机械与控制,中国计量学院,毛豆机器人是集毛豆品质分选、去壳（或剪角）于一体的机电一体化产品。作品可完成腐坏变质毛豆的剔除，保证豆粒不受伤害前提下对毛豆进行去壳（或剪角），还可以对刚去壳的新鲜豆粒进行品质分选。毛豆机器人旨在代替人工实现毛豆分选、去壳（或剪角）等操作，节约劳动力，改善加工环境，提高食品安全，增加毛豆商业附加值。
高精度非球面拼接检测转台及算法软件系统的开发,机械与控制,厦门大学,本作品实现了小口径检测设备对大口径光学元件的拼接检测，其内容主要为：设计一套能与TaylorHobson公司的FormTalysurfPGI1240轮廓仪配合，实现大口径非球面元件检测的夹具；研发分段测量后数据拼接算法、误差处理算法和表面评价算法，并进行实验验证；开发相应的软件系统以方便用户使用。本作品共发表论文2篇，申请专利2项，软件著作权2项。
连续式反应器处理微藻制备生物油燃料,能源化工,河南理工大学,本课题采用连续式-固定床串联集成反应器，以铂系金属为催化剂，高水分微绿藻为模型藻，先对其进行亚临界水热液化，继而在超临界水热催化氢化条件下，改质其产物油，最终产出粘度低、热值高、热稳定性好的液态烃燃料。该液态烃燃料有望代替市售柴油，研究价值巨大。此外，本课题用同样的反应介质（水）将原料的在线制备与氢化改质加以联合，既简化实验操作工序，又解决了催化剂的循环利用问题，可谓一举多得。
