[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
区域能源合作稳定性模型与实证研究,经济,长春工业大学,能源的短缺与低碳经济时代的到来，对高度依赖传统能源的现代经济提出了严峻的挑战，为抵御其对各国及世界能源安全的威胁，全球呈现出以地缘关系为基础的国际能源区域合作趋势。但是，理论和实践都表明，在国际社会尚未形成以实现全球能源安全为目标合力的情况下，区域能源合作的存在是有条件的，区域能源合作的稳定是有范围的。
陕西省矿区废弃土地资源整治情况调查研究,经济,西北大学, 本课题综合运用经济学、行政管理学、社会学等相关知识，大量收集数据、实地调研分析，对陕西省铜川地区矿区废弃土地整治情况从参与模式、政府行为、资金运用、居民满意度等方面进行了研究。通过对调研过程中发现的问题进行的分析以及与政府部门及有关专家进行的探讨，理论知识联系实际情况，本课题从政府、企业、社会等角度提出了切实可行的政策建议和意见。
我国清洁能源对传统能源的替代机制研究,经济,湖南大学,传统能源的恶果逐步突显，清洁能源的替代趋势已成必然，本文通过调查问卷与深入访谈相结合的调查方式，对湖南省“两型社会”国家级试验区清洁能源对传统能源的替代现状进行了实地调研，总结出了制约能源替代发生的因素，在此调研的基础上，从价格、税收、补贴三方面对能源替代机制进行了理论上的探索与分析，并对政策效果进行了实证检验。最终提出行之有效的促进清洁能源替代传统能源的政策建议，以期提供一定的实践价值。
新能源交通工具对传统燃油汽车的替代性研究,经济,南开大学,本报告紧密结合当下“把生态文明建设放在突出地位”这一热点话题，分别从成本分析、Logit模型、演化博弈论与产业经济学角度对推广电动自行车的可行性进行分析，并依据不同的理论提出相应的政策建议。研究分析结果表明，电动自行车在我国当前的环境能源的基本情况下，具有显著的优势，将在居民出行和节能减排方面扮演着重要角色，为解决我国严峻的能源、交通与环境问题提供解决的新思路。
新能源汽车市场需求调查分析报告,经济,江西财经大学,本次报告以居民消费水平为基准，选取了北京，广州、武汉、郑州、长春以及南昌作为调查城市。通过抽样调查的方式，采集了此六大城市消费者在新能源汽车的性能偏好，购买偏好及汽车售后服务偏好三方面的第一手资料。利用专业统计分析软件对所得数据进行汇总、采用描述统计分析、对应分析、联合分析及层次分析等分析方法，探究新能源汽车市场低迷的原因，把握消费者偏好，力求为中国新能源汽车企业提供可行性意见和建议。
新型农村合作经济组织发展道路的探索,经济,苏州大学,随着城乡一体化的推进，农村合作经济组织需要适时进行创新，以突破土地股份合作社的发展瓶颈，从而增强其抵抗风险的能力，使农民的利益最大化。本作品以经济学为分析工具，着眼于苏州市湖桥村的全国首家农民集团——湖桥集团，思考未来农村合作经济组织集团化、市场化以及产权明晰化的发展方向，并将湖桥村与典型村对比，分析规模经营过程中农村合作经济组织监管机制落后、产权模糊以及过度依赖政府等问题，得出一般性归纳。
云南藏区旅游生态安全状况调查报告,经济,云南师范大学,本调查对云南藏区旅游生态安全现状进行了调查（以香格里拉为调查对象），并且分为旅游开发初期、中期和成熟期三个阶段进。通过一个动态和发展的眼光看待香格里拉旅游生态安全问题。分别通过建立自己设计的自然生态安全指标系统模型和人文生态安全指标系统模型，然后用层次分析法、安全度的计算构建评价指标体系。计算指标权重和安全度，最后分析评价结果。从而有针对性的采取措施对策。
中国节会经济“热”的“冷”思考,经济,河南科技大学,以洛阳牡丹文化节为例，通过对其发展历程的深度解析及与其他文化节的比较研究，剖析它的现实基础与时代特征；通过问卷调查、深度访谈等研究文化节运行机制；报告是从企业的微观层次到产业的中观层次再到国家经济的宏观层次一以贯之，从国家、产业、企业三个维度识别牡丹文化节运行机制的宏、中、微观因素，解析文化节利益分配、运行机制、角色转变之间的互动机理，在此基础上，提出牡丹文化节可持续发展的对策建议。
中国民营企业技术进步与转型升级新征程,经济,厦门大学,在中国经济社会发展的这一关键性历史时刻，“转变经济发展方式，实施创新驱动战略”是关系经济发展全局的重要抉择。当我们认真分析了宏观背景下的中国经济大势，以及二次创业背景下的泉州经济现状，运用经济学理论和方法，对新时期“泉州模式”所内涵的技术进步与转型升级经验进行经济学分析和总结，形成泉州民营企业二次创业的阶段性经验，这是时代所需，对中国民营企业的转型发展有着指点迷津的借鉴性价值。
产业转移粘性是如何产生？,经济,安徽工业大学,本作品在对泛长三角地区企业调查研究的基础上，对相关数据进行整理后，运用stata软件选用二元选择模型中的probit模型进行实证分析。分析结果表明，区位特征、集聚效应和区域政策是产生产业粘性的三大因素，其中，集聚效应是产生“粘性”的主导因素，而且产业转移粘性的产生与产业类别和所处的生命阶段有着密切关系。在此基础上，本文了提出科学合理的破解产业粘性的政策建议。
创新型小微企业R&D投入的动力机制研究,经济,中南财经政法大学,本课题从税收激励的角度出发，探究小微企业创新能力改善之路。本课题以武汉市东湖高新技术开发区和十堰市白浪经济开发区的创新型小微企业为调研对象，根据问卷结果进行定量分析，并利用统计年鉴数据建立数学模型，以验证企业所得税优惠与创新型小微企业R&D投入的相关性。研究结果表明，所得税优惠虽然能够产生一定的激励效应但收效略微。本课题从宏观环境层面和微观条件层面进行原因剖析，并提出了可行的政策建议。
